"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
BRANDY IMPORTED,50526,Raynal Napoleon VSOP,750ml,,80,$16.99 
BRANDY IMPORTED,66293,Remy Martin V,375ml,,80,$16.99 
BRANDY IMPORTED,66296,Remy Martin V,750ml,,40,$33.99 
BRANDY IMPORTED,51598,Rujero Singani,750ml,,80,$32.99 
BRANDY IMPORTED,50687,St Remy VSOP Brandy,1L,,80,$18.99 
BRANDY IMPORTED,50686,St Remy VSOP Brandy,750ml,,80,$15.99 
BRANDY IMPORTED,50689,St Remy VSOP Brandy (plastic),1.75L,,80,$30.99 
BRANDY IMPORTED,77938,Twenty Grand Maraschino Cherry,750ml,,80,$29.99 
CANADIAN WHISKY,11773,Black Velvet,200ml,,80,$2.99 
CANADIAN WHISKY,11774,Black Velvet,375ml,,80,$5.59 
CANADIAN WHISKY,11776,Black Velvet,750ml,,80,$9.99 
CANADIAN WHISKY,11777,Black Velvet,1L,,80,$12.99 
CANADIAN WHISKY,11786,Black Velvet Portable,750ml,,80,$9.99 
CANADIAN WHISKY,11788,Black Velvet Portable,1.75L,,80,$19.99 
CANADIAN WHISKY,10846,Canadian Club Classic Small Batch Whisky,750ml,,80,$23.99 
CANADIAN WHISKY,10632,Canadian Club Reserve Triple Aged Whisky,750ml,9YR,80,$19.49 
CANADIAN WHISKY,10624,Canadian Club Whisky,375ml,5YR,80,$7.99 
CANADIAN WHISKY,10626,Canadian Club Whisky,750ml,5YR,80,$15.49 
CANADIAN WHISKY,10627,Canadian Club Whisky,1L,5YR,80,$19.99 
CANADIAN WHISKY,10628,Canadian Club Whisky,1.75L,5YR,80,$29.99 
CANADIAN WHISKY,12316,Canadian Hunter Traveler,750ml,,80,$8.99 
CANADIAN WHISKY,12307,Canadian Hunter Whisky,1L,,80,$9.99 
CANADIAN WHISKY,12306,Canadian Hunter Whisky,750ml,,80,$8.99 
CANADIAN WHISKY,12308,Canadian Hunter Whisky,1.75L,,80,$18.99 
CANADIAN WHISKY,12407,Canadian Limited Whisky,1L,,80,$9.99 
CANADIAN WHISKY,12408,Canadian Limited Whisky,1.75L,,80,$15.99 
CANADIAN WHISKY,11058,Canadian Macnaughton Whisky,1.75L,,80,$19.99 
CANADIAN WHISKY,12478,Canadian Mist Easy Pour,1.75L,,80,$19.99 
CANADIAN WHISKY,12461,Canadian Mist Whisky,50ml,,80,$1.39 
CANADIAN WHISKY,12463,Canadian Mist Whisky,200ml,,80,$2.99 
CANADIAN WHISKY,12464,Canadian Mist Whisky,375ml,,80,$5.99 
CANADIAN WHISKY,12466,Canadian Mist Whisky,750ml,,80,$10.99 
CANADIAN WHISKY,12467,Canadian Mist Whisky,1L,,80,$14.99 
CANADIAN WHISKY,12476,Canadian Mist Whisky,750ml,,80,$10.99 
CANADIAN WHISKY,10836,Crown Royal Black Whiskey,750ml,,90,$32.99 
CANADIAN WHISKY,10831,Crown Royal Black Whiskey,50ml,,90,$2.99 
CANADIAN WHISKY,10834,Crown Royal Black Whiskey,375ml,,90,$18.49 
CANADIAN WHISKY,10838,Crown Royal Black Whiskey,1.75L,,90,$62.99 
CANADIAN WHISKY,10837,Crown Royal Black Whiskey,1L,,90,$38.99 
CANADIAN WHISKY,10839,Crown Royal Hand Selected Barrel,750ml,,103,$54.99 
CANADIAN WHISKY,10812,Crown Royal Monarch Whiskey 75th Anniversary,750ml,,80,$75.99 
CANADIAN WHISKY,10840,Crown Royal Noble Collection,750ml,,80.6,$59.99 
CANADIAN WHISKY,11361,Crown Royal Special Reserve,50ml,,80,$4.99 
CANADIAN WHISKY,11364,Crown Royal Special Reserve,375ml,,80,$27.99 
CANADIAN WHISKY,11366,Crown Royal Special Reserve,750ml,,80,$46.99 
CANADIAN WHISKY,11299,Crown Royal Whiskey,200ml,,80,$9.49 
CANADIAN WHISKY,11290,Crown Royal Whiskey,50ml,,80,$2.99 
CANADIAN WHISKY,11294,Crown Royal Whiskey,375ml,,80,$17.99 
CANADIAN WHISKY,11296,Crown Royal Whiskey,750ml,,80,$28.99 
CANADIAN WHISKY,11297,Crown Royal Whiskey,1L,,80,$35.99 
CANADIAN WHISKY,11298,Crown Royal Whiskey,1.75L,,80,$58.99 
CANADIAN WHISKY,11295,Crown Royal Whisky (plastic),375ml,,80,$17.69 
CANADIAN WHISKY,10826,Crown Royal XO,750ml,,80,$49.99 
CANADIAN WHISKY,11285,Crown Royal XR,750ml,,80,$132.99 
CANADIAN WHISKY,10890,Forty Creek Barrel Select Whiskey,750ml,,80,$19.99 
CANADIAN WHISKY,13248,Harwood Canadian Whisky,1.75L,,80,$17.69 
CANADIAN WHISKY,13638,Lord Calvert Whisky,1.75L,3YR,80,$20.99 
CANADIAN WHISKY,14192,Pendleton Canadian,750ml,,80,$25.49 
CANADIAN WHISKY,14204,Pendleton Limited Edition-wnp15,750ml,,80,$25.49 
CANADIAN WHISKY,12858,Rich & Rare Reserve Canadian,1.75L,,80,$24.99 
CANADIAN WHISKY,12888,Rich & Rare Whisky,1.75L,,80,$17.99 
CANADIAN WHISKY,12880,Rich & Rare Whisky,375ml,,80,$4.99 
CANADIAN WHISKY,12886,Rich & Rare Whisky,750ml,,80,$8.99 
CANADIAN WHISKY,11344,Seagram's VO,375ml,6YR,80,$8.99 
CANADIAN WHISKY,11346,Seagram's VO,750ml,6YR,80,$16.99 
CANADIAN WHISKY,11347,Seagram's VO,1L,6YR,80,$21.99 
CANADIAN WHISKY,11326,Seagram's VO Gold,750ml,,80,$19.99 
CANADIAN WHISKY,11348,Seagram's VO Whisky (plastic),1.75L,6YR,80,$33.99 
CANADIAN WHISKY,15248,Windsor,1.75L,3YR,80,$17.99 
COCKTAILS (DOMESTIC),56851,Bacardi Bahama Mama,750ml,,20,$9.99 
COCKTAILS (DOMESTIC),56850,Bacardi Bahama Mama,1.75L,,20,$17.99 
COCKTAILS (DOMESTIC),56828,Bacardi Classic Cocktails Mojito,1.75L,,30,$19.99 
COCKTAILS (DOMESTIC),56840,Bacardi Hurricane,1.75L,,25,$17.99 
COCKTAILS (DOMESTIC),56843,Bacardi Party Drinks Zombie,1.75L,,25,$17.99 
COCKTAILS (DOMESTIC),57049,Barton Long Island Iced Tea,1.75L,,75,$16.99 
COCKTAILS (DOMESTIC),57051,Barton Long Island Iced Tea,1L,,75,$8.99 
COCKTAILS (DOMESTIC),277,Buzzballz Peachballz,600ml,,30,$10.99 
COCKTAILS (DOMESTIC),278,Buzzballz Pineapple Passion,600ml,,30,$10.99 
COCKTAILS (DOMESTIC),57196,Buzzballz Tea-licious,600ml,,30,$9.99 
COCKTAILS (DOMESTIC),282,Buzzballz Tequila Rita,600ml,,30,$10.99 
COCKTAILS (DOMESTIC),57165,Chi Chi's Pina Colada,200ml,,25,$1.99 
COCKTAILS (DOMESTIC),57180,Chi Chi's Pineapple,200ml,,20,$1.99 
COCKTAILS (DOMESTIC),57125,Chi-Chi's Gold Margarita,1.75L,,25,$10.99 
COCKTAILS (DOMESTIC),57148,Chi-Chi's Margarita,1.75L,,20,$10.99 
COCKTAILS (DOMESTIC),80058,Chi-chi's Orange Cream,1.75L,,25,$10.99 
COCKTAILS (DOMESTIC),57169,Chi-chi's Peach,200ml,,25,$1.99 
COCKTAILS (DOMESTIC),57181,Chi-chi's Pineapple Margarita,1.75L,,20,$10.99 
COCKTAILS (DOMESTIC),57178,Chi-chi's Ruby Red Margarita,200ml,,25,$1.99 
COCKTAILS (DOMESTIC),57174,Chi-Chi's Skinny Margarita,1.75L,,25,$10.99 
COCKTAILS (DOMESTIC),59036,Desert Island Long Island Ice Tea Mix,750ml,,75,$7.99 
COCKTAILS (DOMESTIC),59170,Fabrizia Italian Margarita,1.75L,,28,$22.99 
COCKTAILS (DOMESTIC),59167,Fabrizia Italian Margarita,750ml,,28,$12.99 
COCKTAILS (DOMESTIC),3318,Francovich Manhattan,1L,,70,$55.49 
COCKTAILS (DOMESTIC),74737,Hochstadter's Slow & Low Can,100ml,,84,$3.99 
COCKTAILS (DOMESTIC),61706,Jefferson's The Manhattan Barrel Finish,750ml,,90.2,$39.99 
COCKTAILS (DOMESTIC),58879,Jose Cuervo Golden Grapefruit Margarita,1.75L,,25,$21.99 
COCKTAILS (DOMESTIC),62114,Montebello Long Island Iced Tea,375ml,,42,$4.59 
COCKTAILS (DOMESTIC),62116,Montebello Long Island Iced Tea,750ml,,42,$8.19 
COCKTAILS (DOMESTIC),62117,Montebello Long Island Iced Tea,1L,,42,$9.19 
COCKTAILS (DOMESTIC),62118,Montebello Long Island Iced Tea,1.75L,,42,$15.39 
COCKTAILS (DOMESTIC),58821,Parrot Pay Blended Orange Pineapple Dream,1.75L,,25,$17.29 
COCKTAILS (DOMESTIC),63510,Sandra Lee Cocktail Time Lime Margarita,750ml,,26,$14.99 
COCKTAILS (DOMESTIC),63511,Sandra Lee Cocktail Time Strawberry Margarita,750ml,,26,$14.99 
COCKTAILS (DOMESTIC),63586,Seagram's Gin & Juice,750ml,,40,$9.99 
COCKTAILS (DOMESTIC),63351,Skinnygirl Grapefruit Margarita,750ml,,19.9,$13.90 
COCKTAILS (DOMESTIC),63355,Skinnygirl Margarita,750ml,1YR,25.4,$13.99 
COCKTAILS (DOMESTIC),63358,Skinnygirl Mojito,750ml,,19.9,$13.99 
COCKTAILS (DOMESTIC),63357,Skinnygirl Pina Colada,750ml,,19.9,$13.99 
COCKTAILS (DOMESTIC),63363,Skinnygirl Sweet'Arita,1.75L,,19.9,$19.99 
COCKTAILS (DOMESTIC),63354,Skinnygirl White Cranberry Cosmo,750ml,,19.9,$13.99 
COCKTAILS (DOMESTIC),63359,Skinnygirl White Peach Margarita,750ml,,25.4,$13.99 
COCKTAILS (DOMESTIC),63720,Smirnoff Grand Cosmopolitan (plastic),1.75L,,30,$22.90 
COCKTAILS (DOMESTIC),63741,Studebaker Manhattan,750ml,,60,$24.99 
COCKTAILS (DOMESTIC),63865,TGI Fridays Orange Dream,1.75L,,25,$19.99 
COCKTAILS (DOMESTIC),63810,TGI Friday's Strawberry Margarita,1.75L,,25,$19.99 
COCKTAILS (DOMESTIC),63812,TGI Friday's Ultimate Mudslide,1.75L,,25,$19.99 
COCKTAILS (DOMESTIC),71528,Tooters Ala-bama Slama Liqueur,50ml,,30,$1.99 
COCKTAILS (DOMESTIC),71530,Tooters Ala-bama Slama Liqueur,750ml,,30,$26.99 
COCKTAILS (DOMESTIC),72447,Tooters Blue Kamikazi Liqueur,50ml,,30,$1.99 
COCKTAILS (DOMESTIC),77827,Tooters Mango Smash Liqueur,50ml,,30,$1.99 
COCKTAILS (DOMESTIC),77832,Tooters On The Beach,50ml,,30,$1.99 
COCKTAILS (DOMESTIC),77548,Tooters Ultimate Apple-tini Liqueur,50ml,,30,$1.99 
COCKTAILS (DOMESTIC),77265,Tooters! Lingo Red Diculous On The Beach,750ml,,30,$26.99 
COCKTAILS (DOMESTIC),67151,Twisted Shotz Moscow Mule Kick,100ml,,40,$5.79 
COCKTAILS (IMPORTED),59159,1800 Raspberry Margarita,1.75L,,19,$21.99 
COCKTAILS (IMPORTED),59154,1800 Ultimate Margarita,1.75L,,19,$21.99 
COCKTAILS (IMPORTED),59161,1800 Ultimate Peach Margarita,1.75L,,19,$21.99 
COCKTAILS (IMPORTED),59162,1800 Ultimate Pineapple Margarita,1.75L,,20,$21.99 
COCKTAILS (IMPORTED),65863,Bacardi Rum Punch,1.75L,,30,$19.99 
COCKTAILS (IMPORTED),58801,Captain Morgan Long Island Iced Tea,1.75L,,34,$21.99 
COCKTAILS (IMPORTED),59231,Ice Box Mudslide,1.75L,,25,$11.99 
COCKTAILS (IMPORTED),59258,Ice Box Pina Colada,1.75L,,25,$11.99 
COCKTAILS (IMPORTED),58842,Jose Cuervo Coconut Pineapple Margarita,1.75L,,19.9,$19.99 
COCKTAILS (IMPORTED),58875,Jose Cuervo Golden Margarita,1.75L,,25,$21.99 
COCKTAILS (IMPORTED),58876,Jose Cuervo Golden Margarita,750ml,,25.4,$12.99 
COCKTAILS (IMPORTED),58877,Jose Cuervo Golden Strawberry Margarita,1.75L,,25,$21.99 
COCKTAILS (IMPORTED),58872,Jose Cuervo Light Margarita,1.75L,,19,$17.99 
COCKTAILS (IMPORTED),58838,Jose Cuervo Lime Margaritas (plastic),1.75L,,19,$17.99 
COCKTAILS (IMPORTED),58836,Jose Cuervo Lime Margaritas (plastic),750ml,,19.9,$9.99 
COCKTAILS (IMPORTED),58860,Jose Cuervo Margaritas Mango,1.75L,,19,$17.99 
COCKTAILS (IMPORTED),58868,Jose Cuervo Strawberry Margaritas (plastic),1.75L,,19,$17.99 
COCKTAILS (IMPORTED),59069,Jose Cuervo Teagarita,1.75L,,19.9,$23.99 
COCKTAILS (IMPORTED),62089,Kahlua White Russian,1.75L,,25,$19.99 
COCKTAILS (IMPORTED),67036,Twisted Shotz B52,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67095,Twisted Shotz Blazin Apple,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67037,Twisted Shotz Buttery Nipple,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67097,Twisted Shotz Dos Locos Paloma,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67042,Twisted Shotz Miami Vice,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67143,Twisted Shotz Peaches N' Cream,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67144,Twisted Shotz Root Beer Flirt,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67075,Twisted Shotz Sex On The Beach,100ml,,40,$5.79 
COCKTAILS (IMPORTED),67077,Twisted Shotz Whipped Chocolate,100ml,,40,$5.79 
COGNAC/ARMAGNAC,47547,Ansac VS Cognac,1L,,80,$25.99 
COGNAC/ARMAGNAC,47548,Ansac VS Cognac,1.75L,,80,$49.99 
COGNAC/ARMAGNAC,47544,Ansac VS Cognac,375ml,,80,$12.99 
COGNAC/ARMAGNAC,47546,Ansac VS Cognac,750ml,,80,$22.99 
COGNAC/ARMAGNAC,47156,Cles Des Ducs VSOP Armagnac,750ml,,80,$38.19 
COGNAC/ARMAGNAC,47766,Conjure Cognac,750ml,,80,$38.49 
COGNAC/ARMAGNAC,47833,Courvoisier Exclusif VSOP,750ml,4YR,80,$39.99 
COGNAC/ARMAGNAC,64627,Courvoisier Gold Cognac,1L,,36,$24.99 
COGNAC/ARMAGNAC,64796,Courvoisier Rose Cognac,1L,,36,$24.99 
COGNAC/ARMAGNAC,47785,Courvoisier VS Cognac,375ml,,80,$13.99 
COGNAC/ARMAGNAC,47780,Courvoisier VS Cognac,50ml,,80,$3.49 
COGNAC/ARMAGNAC,47786,Courvoisier VS Cognac,750ml,,80,$32.99 
COGNAC/ARMAGNAC,47787,Courvoisier VS Cognac,1L,,80,$42.99 
COGNAC/ARMAGNAC,47788,Courvoisier VS Cognac,1.75L,2YR,80,$67.99 
COGNAC/ARMAGNAC,47790,Courvoisier VS Cognac (flask),200ml,,80,$9.49 
COGNAC/ARMAGNAC,47777,Courvoisier VSOP Cognac,1L,,80,$50.99 
COGNAC/ARMAGNAC,47776,Courvoisier VSOP Cognac,750ml,,80,$43.99 
COGNAC/ARMAGNAC,47775,Courvoisier VSOP Cognac,375ml,4YR,80,$20.99 
COGNAC/ARMAGNAC,47863,D'Usse Cognac VSOP,375ml,,80,$29.99 
COGNAC/ARMAGNAC,47865,D'usse VSOP,750ml,,80,$58.99 
COGNAC/ARMAGNAC,47869,Dusse XO,750ml,10YR,80,$219.99 
COGNAC/ARMAGNAC,48146,Hennessy Black Cognac,750ml,,86,$45.99 
COGNAC/ARMAGNAC,48154,Hennessy Black Cognac,375ml,,86,$25.49 
COGNAC/ARMAGNAC,48147,Hennessy Black Cognac,1L,,86,$57.99 
COGNAC/ARMAGNAC,48105,Hennessy VS,375ml,,80,$19.49 
COGNAC/ARMAGNAC,48099,Hennessy VS,200ml,,80,$11.49 
COGNAC/ARMAGNAC,48101,Hennessy VS,50ml,,80,$4.59 
COGNAC/ARMAGNAC,48106,Hennessy VS,750ml,,80,$37.99 
COGNAC/ARMAGNAC,48107,Hennessy VS,1L,,80,$49.99 
COGNAC/ARMAGNAC,48108,Hennessy VS,1.75L,,80,$80.99 
COGNAC/ARMAGNAC,48093,Hennessy VS Artistry By Futura,750ml,,80,$36.99 
COGNAC/ARMAGNAC,48091,Hennessy VS Luminous,1L,,80,$49.99 
COGNAC/ARMAGNAC,48098,Hennessy VS Round,375ml,,80,$19.49 
COGNAC/ARMAGNAC,48178,Hennessy VS Ryan Mcginness,750ml,,80,$36.99 
COGNAC/ARMAGNAC,48167,Hennessy VSOP,1.75L,,80,$114.99 
COGNAC/ARMAGNAC,48094,Hennessy VSOP Collector Bottle,750ml,,80,$58.99 
COGNAC/ARMAGNAC,48151,Hennessy VSOP Privilege,200ml,,80,$16.99 
COGNAC/ARMAGNAC,48164,Hennessy VSOP Privilege,750ml,,80,$58.99 
COGNAC/ARMAGNAC,48165,Hennessy VSOP Privilege,1L,,80,$76.99 
COGNAC/ARMAGNAC,48115,Hennessy VSOP Round,375ml,,80,$29.99 
COGNAC/ARMAGNAC,100041,Hennessy VSOP W/ 2 Glasses,750ml,,80,$58.99 
COGNAC/ARMAGNAC,48129,Hennessy XO,750ml,,80,$199.99 
COGNAC/ARMAGNAC,48527,Le Reviseur VSOP,750ml,,80,$54.99 
COGNAC/ARMAGNAC,48696,Martel VS Cognac,750ml,,80,$31.99 
COGNAC/ARMAGNAC,48706,Martel VSOP Cognac,750ml,,80,$39.99 
COGNAC/ARMAGNAC,48656,Martell Cordon Blue,750ml,,80,$149.99 
COGNAC/ARMAGNAC,48182,Master Blender,375ml,,86,$44.99 
COGNAC/ARMAGNAC,48183,Master Blender,750ml,,86,$79.99 
COGNAC/ARMAGNAC,48766,Meukow VS Cognac,750ml,,80,$29.99 
COGNAC/ARMAGNAC,49083,Remy Martin 1738,200ml,,80,$16.99 
COGNAC/ARMAGNAC,49084,Remy Martin 1738 Accord Royal,375ml,,40,$26.99 
COGNAC/ARMAGNAC,49086,Remy Martin 1738 Accord Royal,750ml,,80,$51.99 
COGNAC/ARMAGNAC,48725,Remy Martin Louis XIII,750ml,,80,"$3,099.99 "
COGNAC/ARMAGNAC,49188,Remy Martin VSOP,1.75L,,40,$99.99 
COGNAC/ARMAGNAC,49185,Remy Martin VSOP,375ml,,80,$22.99 
COGNAC/ARMAGNAC,49186,Remy Martin VSOP,750ml,,80,$44.99 
COGNAC/ARMAGNAC,49187,Remy Martin VSOP,1L,,80,$59.99 
COGNAC/ARMAGNAC,49189,Remy Martin VSOP,200ml,,80,$12.99 
COGNAC/ARMAGNAC,49156,Remy Martin XO Excellence,750ml,,80,$159.99 
COGNAC/ARMAGNAC,2166,Remy Martin XO Excellence With 2 Glasses,750ml,,80,$159.99 
COGNAC/ARMAGNAC,49374,Salignac VS,375ml,2YR,80,$11.99 
COGNAC/ARMAGNAC,49376,Salignac VS,750ml,,80,$21.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84159,99 Apples Schnapps,750ml,,99,$14.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84170,99 Bananas Schnapps,750ml,,99,$14.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84166,99 Blackberries Schnapps,750ml,,99,$14.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84195,99 Butterscotch Schnapps,750ml,,99,$15.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84153,99 Cinnamon,750ml,,99,$16.90 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84141,99 Peaches Schnapps,750ml,,99,$14.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),84201,99 Pineapple Schnapps,750ml,,99,$14.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),71536,Allegro Amaretto,750ml,,42,$8.19 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),71556,Allegro Coffee,750ml,,42,$8.10 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82212,Aristocrat Peach Schnapps,1.75L,,30,$14.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82210,Aristocrat Southern Style Peach Schnapps,750ml,,30,$5.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82207,Aristocrat Tangy Sour Apple Schnapps,1L,,30,$7.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85879,Aristocrat Triple Sec,750ml,,30,$4.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85877,Aristocrat Triple Sec,1L,,30,$4.69 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85066,Arrow Anisette,750ml,,60,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),71946,Arrow Black Raspberry,750ml,,30,$10.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),78036,Arrow Creme De Cacao Brown,750ml,,40,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),78616,Arrow Creme De Cacao White,750ml,,40,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80576,Arrow Peppermint Schnapps,750ml,,54,$10.39 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80574,Arrow Peppermint Schnapps,375ml,,54,$5.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85896,Arrow Triple Sec,750ml,,30,$6.19 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),72300,Art In The Age Root,750ml,,80,$34.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82356,Barton Peach Schnapps,750ml,,42,$5.89 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),72597,Bols Amaretto,1L,,56,$11.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),72607,Bols Black Raspberry,1L,,34,$11.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85516,Bols Blue Curacao,750ml,,48,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),72637,Bols Melon Liqueur,1L,,42,$11.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85456,Bols Orange Curacao,750ml,,48,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82557,Bols Peach Schnapps,1L,,42,$11.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),72628,Bols Pumpkin Spice Liqueur,750ml,,0,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85986,Bols Triple Sec 30 Proof,750ml,,30,$5.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73140,Chila Orchata Cinnamon Cream Rum,750ml,,27.5,$17.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80060,Cinnabon Cinnamon Creme Liqueur,750ml,,27,$22.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80061,Cinnabon Cinnamon Creme Liqueur,50ml,,27,$1.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73496,Dekuyper Amaretto Signature,750ml,,40,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),85526,Dekuyper Blue Curacao,750ml,,48,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82786,Dekuyper Buttershots Schnapps,750ml,,30,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82787,Dekuyper Buttershots Schnapps,1L,,30,$13.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80096,Dekuyper Creme De Banana,750ml,,48,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),79136,Dekuyper Creme De Menthe Green,750ml,,60,$10.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73586,Dekuyper Hazelnut,750ml,,48,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73466,Dekuyper Luscious Tropical Papaya,750ml,,30,$12.45 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73526,Dekuyper Melon,750ml,,46,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82844,Dekuyper Peachtree Schnapps,375ml,,30,$6.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82846,Dekuyper Peachtree Schnapps,750ml,,30,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82847,Dekuyper Peachtree Schnapps,1L,,30,$13.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82849,Dekuyper Peachtree Schnapps,1.75L,,30,$19.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80686,Dekuyper Peppermint Schnapps,750ml,,60,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80687,Dekuyper Peppermint Schnapps,1L,,60,$13.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73456,Dekuyper Razzmatazz,750ml,,33,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82601,Dekuyper Sour Apple Pucker Schnapps,50ml,,30,$1.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82606,Dekuyper Sour Apple Pucker Schnapps,750ml,,30,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82607,Dekuyper Sour Apple Pucker Schnapps,1L,,30,$13.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),86112,Dekuyper Triple Sec,1L,,30,$7.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),86111,Dekuyper Triple Sec,1.75L,,30,$13.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82861,Dekuyper Watermelon Pucker Schnapps,50ml,,30,$1.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),82866,Dekuyper Watermelon Pucker Schnapps,750ml,,30,$11.49 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73984,Di Amore Amaretto,375ml,,42,$7.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73986,Di Amore Amaretto,750ml,,42,$12.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),69715,Dr. Mcgillicuddy's Peach,750ml,,42,$13.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73689,Erotique Liqueur,750ml,,34,$20.69 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73769,Fabrizia Crema Di Limoncello,750ml,,26,$18.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73709,Fabrizia Limoncello,750ml,,54,$18.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80144,Fulton Harvest Apple Pie Liqueur,750ml,,25,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),80145,Fulton's Harvest Pumpkin Liqueur,750ml,,25,$9.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),73946,Garofalo Ginger Lime Liqueur,375ml,,60,$25.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),74081,Godiva,50ml,,34,$3.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),74084,Godiva,375ml,,34,$19.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),74086,Godiva,750ml,,30,$29.99 
CORDIALS-LIQUEURS-SPECIALTIES (DOMESTIC),74090,Godiva White Chocolate,750ml,,34,$29.99 
