"VABC Liquor and Wines Price List Effective Date: April 01, 2017 - June 30, 2017",,,,,,
Description,Code,Brand,Size,Age,Proof,Price
STRAIGHT BOURBON WHISKEY,17925,Elijah Craig 23 Year Single Barrel Bourbon,750ml,,90,$200.69 
STRAIGHT BOURBON WHISKEY,17914,Elijah Craig Small Batch Barrel Proof,750ml,,132,$49.99 
STRAIGHT BOURBON WHISKEY,17946,Elmer T Lee Bourbon,750ml,,90,$35.99 
STRAIGHT BOURBON WHISKEY,18096,Evan Williams 1783 Bourbon,750ml,,86,$14.99 
STRAIGHT BOURBON WHISKEY,18098,Evan Williams 1783 Bourbon,1.75L,,86,$31.99 
STRAIGHT BOURBON WHISKEY,17953,Evan Williams Black Bourbon,200ml,,86,$4.99 
STRAIGHT BOURBON WHISKEY,17954,Evan Williams Black Bourbon,375ml,,86,$6.99 
STRAIGHT BOURBON WHISKEY,17956,Evan Williams Black Bourbon,750ml,,86,$13.99 
STRAIGHT BOURBON WHISKEY,17957,Evan Williams Black Bourbon,1L,,86,$15.99 
STRAIGHT BOURBON WHISKEY,17958,Evan Williams Black Bourbon,1.75L,,86,$26.99 
STRAIGHT BOURBON WHISKEY,18116,Evan Williams Black Carry Pack,750ml,,86,$13.99 
STRAIGHT BOURBON WHISKEY,18044,Evan Williams Green Bourbon,375ml,,80,$5.99 
STRAIGHT BOURBON WHISKEY,18046,Evan Williams Green Bourbon,750ml,,80,$10.99 
STRAIGHT BOURBON WHISKEY,18047,Evan Williams Green Bourbon,1L,,80,$12.49 
STRAIGHT BOURBON WHISKEY,18048,Evan Williams Green Bourbon,1.75L,,80,$22.99 
STRAIGHT BOURBON WHISKEY,18120,Evan Williams Single Barrel Bourbon,750ml,7YR,86.6,$31.99 
STRAIGHT BOURBON WHISKEY,16096,Evan Williams White Bourbon,750ml,,100,$13.99 
STRAIGHT BOURBON WHISKEY,16098,Evan Williams White Bourbon,1.75L,,100,$29.99 
STRAIGHT BOURBON WHISKEY,18196,Ezra Brooks Bourbon,750ml,4YR,90,$12.99 
STRAIGHT BOURBON WHISKEY,18198,Ezra Brooks Bourbon,1.75L,4YR,90,$25.99 
STRAIGHT BOURBON WHISKEY,18271,Fighting Cock Bourbon,50ml,6YR,103,$1.69 
STRAIGHT BOURBON WHISKEY,18276,Fighting Cock Bourbon,750ml,,103,$18.99 
STRAIGHT BOURBON WHISKEY,18286,Filibuster Bourbon,750ml,,90,$46.29 
STRAIGHT BOURBON WHISKEY,18326,Forged Oak Bourbon,750ml,,90.5,$69.99 
STRAIGHT BOURBON WHISKEY,18361,Four Roses 2015 Limited Edition Small Batch,750ml,,111.8,$97.39 
STRAIGHT BOURBON WHISKEY,18367,Four Roses 2016 Limited Edition Small Batch,750ml,,111.2,$97.39 
STRAIGHT BOURBON WHISKEY,18352,Four Roses Bourbon,750ml,,80,$21.99 
STRAIGHT BOURBON WHISKEY,18368,Four Roses Elliott's Select 2016 Limited Edition,750ml,,120,$124.99 
STRAIGHT BOURBON WHISKEY,18365,Four Roses Limited Edition Small Batch Barrel,750ml,,111.8,$93.59 
