whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type,alt_brand
Glencadam 30yo,8.82,0.2,3,$$$$$+,SingleMalt-like,GH,H,Scotland,Malt,30 glencadam
Glendalough 13yo Single Malt,8.44,0.26,7,$$$$,SingleMalt-like,GH,G,Ireland,Malt,13 glendalough
Glendalough 7yo Single Malt,8.16,0.31,5,$$$,SingleMalt-like,GH,G,Ireland,Malt,7 glendalough
Glendalough Double Barrel,8.29,0.4,5,$$,Scotch-like,,,Ireland,Grain,barrel double glendalough
GlenDronach 12yo Original,8.59,0.21,20,$$$,SingleMalt-like,ABC,A,Scotland,Malt,12 glendronach
GlenDronach 12yo Sauternes Cask Finish,8.84,0.13,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,12 cask finish glendronach sauternes
GlenDronach 14yo Sauternes Cask Finish,8.39,0.39,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,14 cask finish glendronach sauternes
GlenDronach 14yo Virgin Oak,8.52,0.32,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt,14 glendronach oak virgin
GlenDronach 15yo Revival,8.91,0.28,19,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,15 glendronach revival
GlenDronach 15yo Tawny Port Finish,8.38,0.38,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,15 finish glendronach port tawny
GlenDronach 18yo Allardice,8.71,0.38,16,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,18 allardice glendronach
GlenDronach 18yo Marsala Finish,8.7,0.11,3,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,18 finish glendronach marsala
GlenDronach 18yo Tawny Port Finish,8.58,0.4,4,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,18 finish glendronach port tawny
GlenDronach 19yo Madeira Finish,9.04,0.34,3,$$$$$,SingleMalt-like,EF,E,Scotland,Malt,19 finish glendronach madeira
GlenDronach 21yo Parliament,8.7,0.37,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,21 glendronach parliament
GlenDronach 8yo The Hielan,8.41,0.37,9,$$$,SingleMalt-like,EF,E,Scotland,Malt,8 glendronach hielan the
GlenDronach Cask Strength (batch 1),9.06,0.27,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,1 batch cask glendronach strength
GlenDronach Cask Strength (batch 2),9.04,0.1,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,2 batch cask glendronach strength
GlenDronach Cask Strength (batch 3),8.89,0.39,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,3 batch cask glendronach strength
GlenDronach Cask Strength (batch 4),8.92,0.29,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,4 batch cask glendronach strength
GlenDronach Cask Strength (batch 5),8.82,0.17,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,5 batch cask glendronach strength
GlenDronach Peated,8.5,0.32,9,$$$,SingleMalt-like,I,I,Scotland,Malt,glendronach peated
GlenDronach vintage 19yo Single Cask (all vintages),8.96,0.36,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,19 all cask glendronach single vintage vintages
GlenDronach vintage 20yo Single Cask (all vintages),9.04,0.39,12,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt,20 all cask glendronach single vintage vintages
Glendullan Singleton of Glendullan 12yo,8.05,0.42,13,$$$,SingleMalt-like,EF,E,Scotland,Malt,12 glendullan glendullan of singleton
Glenfarclas 105,8.73,0.36,22,$$$$,SingleMalt-like,ABC,C,Scotland,Malt,105 glenfarclas
Glenfarclas 10yo,8.32,0.31,14,$$$,SingleMalt-like,ABC,B,Scotland,Malt,10 glenfarclas
Glenfarclas 12yo,8.57,0.34,19,$$$,SingleMalt-like,ABC,C,Scotland,Malt,12 glenfarclas
Glenfarclas 15yo,8.7,0.24,16,$$$$,SingleMalt-like,ABC,B,Scotland,Malt,15 glenfarclas
Glenfarclas 17yo,8.76,0.27,17,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,17 glenfarclas
Glenfarclas 21yo,8.59,0.32,12,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt,21 glenfarclas
Glenfarclas 25yo,8.73,0.28,12,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt,25 glenfarclas
Glenfarclas 40yo,9.26,0.29,12,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt,40 glenfarclas
Glenfiddich 12yo,8.1,0.24,23,$$$,SingleMalt-like,GH,G,Scotland,Malt,12 glenfiddich
Glenfiddich 14yo Bourbon Barrel Reserve,8.44,0.16,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt,14 barrel glenfiddich reserve
Glenfiddich 14yo Rich Oak,8.59,0.33,9,$$$,SingleMalt-like,EF,E,Scotland,Malt,14 glenfiddich oak rich
Glenfiddich 15yo Distillers Edition,8.71,0.31,12,$$$$,SingleMalt-like,EF,E,Scotland,Malt,15 distillers edition glenfiddich
Glenfiddich 15yo Solera,8.59,0.25,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt,15 glenfiddich solera
